datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2024-06-13,1333319.7401062618,0.0,18762816.61040957,0.0,18762.816610409573,0.0,0.0,1333319.7401062618,-0.021841466
2024-06-14,1333319.7401062618,0.0,18762816.61040957,0.0,18762.816610409573,0.0,0.0,1333319.7401062618,-0.010917842
2024-06-15,1333319.7401062618,0.0,18762816.61040957,0.0,18762.816610409573,0.0,0.0,1333319.7401062618,0.0027899742
2024-06-16,1333319.7401062618,0.0,18762816.61040957,0.0,18762.816610409573,0.0,0.0,1333319.7401062618,0.0067738295
2024-06-17,1333319.7401062618,0.0,18762816.61040957,0.0,18762.816610409573,0.0,0.0,1333319.7401062618,-0.002587676
2024-06-18,1333319.7401062618,0.0,18762816.61040957,0.0,18762.816610409573,0.0,0.0,1333319.7401062618,-0.019983768
2024-06-19,1333319.7401062618,0.0,18762816.61040957,0.0,18762.816610409573,0.0,0.0,1333319.7401062618,-0.003083229
2024-06-20,1333319.7401062618,0.0,18762816.61040957,0.0,18762.816610409573,0.0,0.0,1333319.7401062618,-0.001606524
2024-06-21,1333319.7401062618,0.0,18762816.61040957,0.0,18762.816610409573,0.0,0.0,1333319.7401062618,-0.011198223
2024-06-22,1333319.7401062618,0.0,18762816.61040957,0.0,18762.816610409573,0.0,0.0,1333319.7401062618,0.0018466711
2024-06-23,1333319.7401062618,0.0,18762816.61040957,0.0,18762.816610409573,0.0,0.0,1333319.7401062618,-0.016370475
2024-06-24,1333319.7401062618,0.0,18762816.61040957,0.0,18762.816610409573,0.0,0.0,1333319.7401062618,-0.046143174
2024-06-25,1333319.7401062618,0.0,18762816.61040957,0.0,18762.816610409573,0.0,0.0,1333319.7401062618,0.025089145
2024-06-26,1333319.7401062618,0.0,18762816.61040957,0.0,18762.816610409573,0.0,0.0,1333319.7401062618,-0.01522541
2024-06-27,1333319.7401062618,0.0,18762816.61040957,0.0,18762.816610409573,0.0,0.0,1333319.7401062618,0.013825417
2024-06-28,1307056.6520365912,-0.019397516866867588,19162812.53244145,0.30000000000000066,19162.81253244145,0.0002999999999999995,374132.8298842399,932923.8221523514,-0.020721138
2024-06-29,1306682.519206707,-4.7316724660858653e-17,19536945.362325687,0.28624071443367294,19536.94536232569,0.00028624071443367265,0.0,1306682.519206707,0.009248018
2024-06-30,1306682.519206707,0.0,19536945.362325687,0.0,19536.94536232569,0.0,0.0,1306682.519206707,0.029274106
2024-07-01,1306450.935487743,0.00012276971218342037,19928950.118087698,0.29999999999999905,19928.9501180877,0.00030000000000000057,392165.17679881,914285.7586889329,0.0020387173
2024-07-02,1326117.3458599288,0.015053499860110627,19929198.720508084,0.0001902883710616466,19929.198720508084,1.9028837105915158e-07,411583.23335303186,914534.1125068968,-0.01215452
2024-07-03,1292035.9009502996,-0.0256898056468319,19942946.75010314,0.010367129001046053,19942.946750103136,1.0367129001043858e-05,363767.50687794463,928268.394072355,-0.031011105
2024-07-04,1256289.3491305942,-0.027648386960473777,19966790.013510283,0.01845402545672906,19966.790013510283,1.845402545673075e-05,351888.0617287915,904401.2874018027,-0.052460432
2024-07-05,1255909.9613607302,-2.1911540832188564e-05,20318650.548003703,0.2800792148217469,20318.650548003705,0.0002800792148217484,0.0,1255909.9613607302,-0.007383406
2024-07-06,1255909.9613607302,0.0,20318650.548003703,0.0,20318.650548003705,0.0,0.0,1255909.9613607302,0.028277874
2024-07-07,1225480.8913726062,-0.023928703429627506,20695423.536411922,0.3,20695.423536411923,0.0002999999999999993,346720.6914085033,878760.1999641029,-0.04074043
